순위,채널명,카테고리,구독자수,조회수,비디오수
153,Milana FamilyShow[EN],키즈/어린이,3640000,1093310000,118
154,FC Bayern München,미분류,3620000,1473140000,5488
157,옛드 : MBC 레전드 드라마,TV/방송,3590000,6609330000,45413
155,장삐쭈,영화/만화/애니,3590000,1924460000,545
156,imlisarhee,음악/댄스/가수,3580000,590320000,757
158,Boram y Juguetes,키즈/어린이,3540000,860590000,463
159,Bleacher Report,미분류,3530000,2739970000,10944
161,ATEEZ,TV/방송,3520000,693990000,1120
160,JOLLY,BJ/인물/연예인,3520000,997350000,662
162,THEBLACKLABEL,음악/댄스/가수,3480000,1140710000,164
164,EBSDocumentary (EBS 다큐),TV/방송,3440000,3421610000,37268
163,Boys Playtime,키즈/어린이,3440000,1569540000,679
165,EBS 키즈,키즈/어린이,3390000,4658010000,21929
166,솔라시도 solarsido,TV/방송,3370000,253730000,409
169,차린건 쥐뿔도 없지만,미분류,3330000,307220000,36
168,JAY PARK,음악/댄스/가수,3330000,1190410000,228
167,사나고 Sanago,취미/라이프,3330000,597560000,188
170,럭키강이 LuckyKang i,키즈/어린이,3290000,1529580000,1589
171,리월드RIWORLD,키즈/어린이,3280000,1369810000,214
172,보겸TV,BJ/인물/연예인,3270000,2742840000,8928
173,유디티TV,음식/요리/레시피,3240000,701750000,1168
174,odg,취미/라이프,3220000,724910000,257
175,Louis Vuitton,미분류,3170000,532780000,642
176,꼬마버스 타요,키즈/어린이,3160000,2455700000,3133
177,Bob ToysReview,키즈/어린이,3140000,1328840000,206
180,HyunA,음악/댄스/가수,3130000,618040000,83
179,런닝맨 - 스브스 공식 채널,TV/방송,3130000,5049970000,55584
178,Adventure Story,키즈/어린이,3130000,1827730000,3984
181,TVCHOSUN - TV조선,뉴스/정치/사회,3120000,5358380000,89065
182,BABYMONSTER,미분류,3110000,439440000,46
184,MariAndToys,키즈/어린이,3100000,830000,71
183,지무비 : G Movie,영화/만화/애니,3100000,1363470000,538
185,피지컬갤러리,스포츠/운동,3090000,864960000,938
186,애정 Aejeong,음식/요리/레시피,3090000,622560000,697
187,SBS Catch,뉴스/정치/사회,3060000,3459750000,6103
188,흥삼이네 Heungsam's Family,음식/요리/레시피,3040000,1646180000,1825
190,FRAN,음식/요리/레시피,3020000,1120100000,1839
189,Thankyou BUBU,취미/라이프,3020000,606360000,134
192,JTBC News,뉴스/정치/사회,3010000,7388390000,178311
191,MariAndFriends,키즈/어린이,3010000,2261310000,2225
194,디글 :Diggle,TV/방송,3000000,6756010000,35465
195,AKMU,음악/댄스/가수,2990000,1081430000,191
193,총몇명,영화/만화/애니,2990000,1379500000,494
196,IVE,미분류,2960000,1355600000,490
197,지현꿍,음식/요리/레시피,2950000,310920000,162
198,CheezeFilm,영화/만화/애니,2940000,1044930000,413
199,김종국 GYM JONG KOOK,스포츠/운동,2930000,322320000,156
200,GIRLS' GENERATION,음악/댄스/가수,2920000,469060000,130
201,Pan K's The Pancake Artist,취미/라이프,2900000,984990000,666
202,International Couple[사샤와 제이],BJ/인물/연예인,2890000,462360000,228
203,새송 Saesong,음악/댄스/가수,2880000,326390000,260
204,양수빈,음식/요리/레시피,2860000,539860000,412
206,The Wiggles - Kids Songs and Nursery Rhymes,해외,2800000,3861140000,833
205,슈카월드,교육/강의,2800000,806000000,1491
207,나도Nado,음식/요리/레시피,2780000,847970000,958
208,짤툰,영화/만화/애니,2770000,2390860000,1617
209,쿠킹하루 Cooking Haru :),미분류,2730000,342770000,193
213,Christian Dior,미분류,2710000,625230000,1350
210,숏박스,미분류,2700000,565190000,107
211,진용진,BJ/인물/연예인,2690000,1001310000,577
212,한세 HANSE,음식/요리/레시피,2670000,457170000,702
216,Stray Kids Japan Official YouTube,미분류,2640000,379360000,219
215,THE K-POP,음악/댄스/가수,2640000,969550000,14279
214,ASMR PPOMO,취미/라이프,2640000,810310000,612
218,키에커,TV/방송,2630000,1202660000,332
217,"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",키즈/어린이,2630000,3261450000,1247
219,흔한남매,BJ/인물/연예인,2620000,3235420000,1187
222,식탁일기 table diary,미분류,2590000,367270000,210
221,KQ ENTERTAINMENT,음악/댄스/가수,2590000,1319090000,653
220,보라미TV BoramiTV,키즈/어린이,2590000,911520000,626
224,ROOKIE MING 루키밍,미분류,2570000,1562320000,927
223,채널A 캔버스,뉴스/정치/사회,2570000,3646970000,44748
225,MONSTA X,음악/댄스/가수,2560000,553590000,713
227,스브스 예능맛집,TV/방송,2540000,2449980000,4852
226,KBS News,뉴스/정치/사회,2540000,5630790000,271060
228,1분요리 뚝딱이형,미분류,2520000,1219120000,982
229,대생 Daesaeng,BJ/인물/연예인,2520000,1980350000,2049
230,OfficialGDRAGON,음악/댄스/가수,2490000,210550000,3
231,SHINee,음악/댄스/가수,2480000,426190000,446
232,[Nareum_TV] 나름TV,음식/요리/레시피,2470000,877490000,958
233,Kep1er,미분류,2450000,706660000,656
236,뽀송한 준_bosungjun,미분류,2440000,268970000,394
235,미지우 MEJIWOO,패션/미용,2440000,50170000,73
234,디글 클래식 :Diggle Classic,뉴스/정치/사회,2440000,6306960000,38478
239,Sony Music (Japan),미분류,2420000,3075960000,3959
238,ITSub잇섭,IT/기술/컴퓨터,2420000,987750000,1107
237,PLAYLIST ORIGINALS 플레이리스트 오리지널,TV/방송,2420000,1093590000,895
241,피식대학Psick Univ,취미/라이프,2370000,1139190000,1085
240,ToyFamily,키즈/어린이,2370000,340000,36
244,ToytubeTV 토이튜브TV,키즈/어린이,2360000,293100000,132
243,감스트GAMST,게임,2360000,1907620000,4765
242,엔조이커플enjoycouple,BJ/인물/연예인,2360000,1095380000,805
247,요올리Yoli,키즈/어린이,2350000,1081680000,832
246,mirrorHD,음악/댄스/가수,2350000,1365870000,208
245,보길 bogil,TV/방송,2350000,988170000,1141
248,도티 TV,게임,2340000,2803860000,3454
250,SUPER JUNIOR,음악/댄스/가수,2330000,207580000,330
249,캐릭온 TV,키즈/어린이,2330000,2668210000,1117
